Time(s)	Temp(K)	mass27.8653
65.06672167778015	435.39	832.9109446848012
65.23073101043701	435.93	843.5840890002139
65.40274095535278	436.94	854.8049006253673
65.56875014305115	437.47	857.0719885587127
65.72675943374634	438.48	853.9642949871604
65.88876867294312	439.02	863.0835925167972
66.06377840042114	440.03	845.4945563597746
66.22778797149658	440.59	851.9264631369625
66.38479709625244	441.59	858.4347886085327
66.55180668830872	442.13	839.3173785638614
66.72581648826599	443.1	878.4819594348568
66.88982582092285	443.65	875.5398397011332
67.04783487319946	444.73	833.8279690173903
67.21184420585632	445.26	842.2849711957125
67.38285398483276	446.23	847.1375582889968
67.54786348342896	446.76	836.3752588301379
67.70487260818481	447.8	868.2928001838662
67.87088203430176	448.33	851.4679509706679
68.04489183425903	449.44	840.017883262367
68.20790123939514	449.86	852.2958201598107
68.36691045761108	450.9	848.1692106631596
68.53091955184937	451.37	841.4825749046969
68.70292949676514	452.48	865.1086879179314
68.86793899536133	452.95	864.0260897475139
69.02494788169861	453.99	862.7142354939488
69.18895721435547	454.53	871.311338611972
69.36196732521057	455.52	845.4436105635197
69.53097701072693	456.07	835.2926606597202
69.69498634338379	457.12	857.1738801512225
69.85099530220032	457.65	859.5428596770779
70.02400493621826	458.63	862.2302504295267
70.1880145072937	459.18	861.2240709534914
70.34602355957031	460.14	827.5998454252223
70.5110330581665	460.67	832.3250680278692
70.6830427646637	461.78	849.6211658564258
70.84805226325989	462.19	835.9549560110346
71.0060613155365	463.28	862.7269719430125
71.17107081413269	463.81	869.1334058220729
71.34408068656921	464.79	847.4559695155903
71.5090901851654	465.37	839.049913133523
71.66509890556335	466.44	840.9221711458925
71.83010864257812	466.97	839.928728118921
72.00311827659607	467.96	865.1468972651227
72.16812777519226	468.42	856.8299960265017
72.32513689994812	469.5	842.9982123432819
72.4891459941864	470.03	855.1869940972794
72.66115593910217	471.1	832.0576025975307
72.8271656036377	471.58	836.1714756451181
72.98517441749573	472.6	847.1630311871244
73.15118408203125	473.13	851.315113581903
73.32319378852844	474.17	851.6844706047514
73.48820304870605	474.75	857.5559736231348
73.6452124118805	475.75	835.9167466638434
73.81122159957886	476.27	829.3574753960181
73.98323154449463	477.23	856.2441193695697
74.14924097061157	477.78	855.3398314860443
74.30625009536743	478.85	842.0557151125652
74.47125959396362	479.37	858.371106363214
74.64126920700073	480.41	835.5728625391225
74.80827856063843	480.91	845.8511769335593
74.96728801727295	481.96	852.2066650163647
75.13029718399048	482.48	860.7273494400055
75.30230689048767	483.49	871.9354246160952
75.46731638908386	483.99	862.4212971654828
75.62532544136047	485.03	829.6376772754204
75.78933501243591	485.55	846.3351619979812
75.96034479141235	486.59	827.9182566518158
76.12735414505005	487.13	834.6940475537244
76.28536343574524	488.07	867.0446281756197
76.4513726234436	488.59	862.3703513692278
76.62138247489929	489.65	859.2753942467394
76.78739190101624	490.14	849.7485303470631
76.9444010257721	491.17	828.5550791050026
77.11141061782837	491.69	835.9931653582257
77.28342032432556	492.77	865.47804494078
77.45343017578125	493.3	844.0935469627633
77.61343908309937	494.3	840.1961935492594
77.77144813537598	494.81	843.9279731249347
77.94145798683167	495.85	845.9658049751329
78.10746741294861	496.42	836.8337709964326
78.26447653770447	497.38	848.2328929084782
78.43048596382141	497.89	864.8157495894654
78.60149574279785	499.01	861.8099476104234
78.76750493049622	499.54	868.4711104707585
78.92651438713074	500.6	829.1919015581896
79.08852362632751	501.11	843.2147319773654
79.26153349876404	502.09	842.5269637279235
79.42954301834106	502.57	846.589890979256
79.58755207061768	503.69	840.8457524515101
79.75156140327454	504.2	861.7207924669772
79.92257118225098	505.22	844.641214272504
80.08758091926575	505.76	839.2282234204154
80.24458980560303	506.74	837.636167287448
80.41059899330139	507.31	848.7423508710278
80.58060884475708	508.36	854.0152407834155
80.74761843681335	508.89	859.0588746126558
80.90562748908997	509.89	845.8893862807504
81.07063698768616	510.46	838.9098121938218
81.2416467666626	511.48	826.7082939907606
81.40765643119812	511.99	828.440451063429
81.5646653175354	513.04	852.5378126920218
81.72967457771301	513.55	859.7848522092889
81.90068435668945	514.57	863.8095701134303
82.06969404220581	515.08	833.1147278698209
82.22770309448242	516.1	836.6299878114127
82.38871240615845	516.61	836.5408326679666
82.55972218513489	517.62	838.1583616990613
82.7277319431305	518.23	847.2649227796342
82.88574075698853	519.23	854.2190239684352
83.05075001716614	520.81	852.5123397938944
83.36776852607727	521.31	860.3707288662209
83.52677750587463	522.33	850.2707247586765
83.685786485672	522.89	852.0538276275997
83.84579563140869	523.83	863.3510579471356
84.01680541038513	524.34	859.9758989452449
84.18781542778015	525.29	837.2540738155358
